oblast,border
http://www.wikidata.org/entity/Q5714,http://www.wikidata.org/entity/Q1194696
http://www.wikidata.org/entity/Q5741,http://www.wikidata.org/entity/Q5462
http://www.wikidata.org/entity/Q5741,http://www.wikidata.org/entity/Q5714
http://www.wikidata.org/entity/Q5741,http://www.wikidata.org/entity/Q5824
http://www.wikidata.org/entity/Q5741,http://www.wikidata.org/entity/Q485088
http://www.wikidata.org/entity/Q5741,http://www.wikidata.org/entity/Q485605
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q2073
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q2164
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q5462
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q5741
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q5835
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q5884
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q6320
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q6563
http://www.wikidata.org/entity/Q5824,http://www.wikidata.org/entity/Q485088
http://www.wikidata.org/entity/Q5835,http://www.wikidata.org/entity/Q5824
http://www.wikidata.org/entity/Q5835,http://www.wikidata.org/entity/Q5851
http://www.wikidata.org/entity/Q5835,http://www.wikidata.org/entity/Q5884
http://www.wikidata.org/entity/Q5835,http://www.wikidata.org/entity/Q485088
http://www.wikidata.org/entity/Q5835,http://www.wikidata.org/entity/Q486144
http://www.wikidata.org/entity/Q5851,http://www.wikidata.org/entity/Q5835
http://www.wikidata.org/entity/Q5851,http://www.wikidata.org/entity/Q5884
http://www.wikidata.org/entity/Q5851,http://www.wikidata.org/entity/Q5942
http://www.wikidata.org/entity/Q5851,http://www.wikidata.org/entity/Q6076
http://www.wikidata.org/entity/Q5851,http://www.wikidata.org/entity/Q486144
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q5824
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q5835
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q5851
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q6076
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q6320
http://www.wikidata.org/entity/Q5884,http://www.wikidata.org/entity/Q6563
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q5851
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q5884
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q5942
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q5971
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q6543
http://www.wikidata.org/entity/Q6076,http://www.wikidata.org/entity/Q6563
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q960
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q6563
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q6605
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q6809
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q6838
http://www.wikidata.org/entity/Q6585,http://www.wikidata.org/entity/Q182902
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q6605
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q6838
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q7730
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q7788
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q19206
http://www.wikidata.org/entity/Q6886,http://www.wikidata.org/entity/Q182902
http://www.wikidata.org/entity/Q7797,http://www.wikidata.org/entity/Q7788
http://www.wikidata.org/entity/Q7797,http://www.wikidata.org/entity/Q7948
http://www.wikidata.org/entity/Q7797,http://www.wikidata.org/entity/Q1037393
http://www.wikidata.org/entity/Q7971,http://www.wikidata.org/entity/Q6605
http://www.wikidata.org/entity/Q7971,http://www.wikidata.org/entity/Q7788
http://www.wikidata.org/entity/Q7971,http://www.wikidata.org/entity/Q7948
http://www.wikidata.org/entity/Q7971,http://www.wikidata.org/entity/Q7984
